day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,BH,Bahrain,Asia,26,50.55,0,0,0
2020/01/23,BH,Bahrain,Asia,26,50.55,0,0,0
2020/01/24,BH,Bahrain,Asia,26,50.55,0,0,0
2020/01/25,BH,Bahrain,Asia,26,50.55,0,0,0
2020/01/26,BH,Bahrain,Asia,26,50.55,0,0,0
2020/01/27,BH,Bahrain,Asia,26,50.55,0,0,0
2020/01/28,BH,Bahrain,Asia,26,50.55,0,0,0
2020/01/29,BH,Bahrain,Asia,26,50.55,0,0,0
2020/01/30,BH,Bahrain,Asia,26,50.55,0,0,0
2020/01/31,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/01,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/02,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/03,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/04,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/05,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/06,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/07,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/08,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/09,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/10,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/11,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/12,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/13,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/14,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/15,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/16,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/17,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/18,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/19,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/20,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/21,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/22,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/23,BH,Bahrain,Asia,26,50.55,0,0,0
2020/02/24,BH,Bahrain,Asia,26,50.55,1,0,0
2020/02/25,BH,Bahrain,Asia,26,50.55,23,0,0
2020/02/26,BH,Bahrain,Asia,26,50.55,33,0,0
2020/02/27,BH,Bahrain,Asia,26,50.55,33,0,0
2020/02/28,BH,Bahrain,Asia,26,50.55,36,0,0
2020/02/29,BH,Bahrain,Asia,26,50.55,41,0,0
2020/03/01,BH,Bahrain,Asia,26,50.55,47,0,0
2020/03/02,BH,Bahrain,Asia,26,50.55,49,0,0
2020/03/03,BH,Bahrain,Asia,26,50.55,49,0,0
2020/03/04,BH,Bahrain,Asia,26,50.55,52,0,0
2020/03/05,BH,Bahrain,Asia,26,50.55,55,0,0
2020/03/06,BH,Bahrain,Asia,26,50.55,60,4,0
2020/03/07,BH,Bahrain,Asia,26,50.55,85,4,0
2020/03/08,BH,Bahrain,Asia,26,50.55,85,4,0
2020/03/09,BH,Bahrain,Asia,26,50.55,95,14,0
2020/03/10,BH,Bahrain,Asia,26,50.55,110,22,0
2020/03/11,BH,Bahrain,Asia,26,50.55,195,35,0
2020/03/12,BH,Bahrain,Asia,26,50.55,195,35,0
2020/03/13,BH,Bahrain,Asia,26,50.55,195,44,0
2020/03/14,BH,Bahrain,Asia,26,50.55,210,44,0
2020/03/15,BH,Bahrain,Asia,26,50.55,214,60,0
2020/03/16,BH,Bahrain,Asia,26,50.55,214,77,1
2020/03/17,BH,Bahrain,Asia,26,50.55,228,81,1
2020/03/18,BH,Bahrain,Asia,26,50.55,256,88,1
2020/03/19,BH,Bahrain,Asia,26,50.55,278,100,1
2020/03/20,BH,Bahrain,Asia,26,50.55,285,100,1
2020/03/21,BH,Bahrain,Asia,26,50.55,305,125,1
2020/03/22,BH,Bahrain,Asia,26,50.55,332,149,2
2020/03/23,BH,Bahrain,Asia,26,50.55,377,164,2
2020/03/24,BH,Bahrain,Asia,26,50.55,392,177,3
2020/03/25,BH,Bahrain,Asia,26,50.55,419,177,4
2020/03/26,BH,Bahrain,Asia,26,50.55,458,204,4
2020/03/27,BH,Bahrain,Asia,26,50.55,466,227,4
2020/03/28,BH,Bahrain,Asia,26,50.55,476,265,4
2020/03/29,BH,Bahrain,Asia,26,50.55,499,272,4
2020/03/30,BH,Bahrain,Asia,26,50.55,515,295,4
2020/03/31,BH,Bahrain,Asia,26,50.55,567,295,4
2020/04/01,BH,Bahrain,Asia,26,50.55,569,337,4
2020/04/02,BH,Bahrain,Asia,26,50.55,643,381,4
2020/04/03,BH,Bahrain,Asia,26,50.55,672,382,4
2020/04/04,BH,Bahrain,Asia,26,50.55,688,423,4
2020/04/05,BH,Bahrain,Asia,26,50.55,700,431,4
2020/04/06,BH,Bahrain,Asia,26,50.55,756,458,4
